"POND","Pondscape","Visit","Date","Max.depth","Conductivity","Oxygen","Oxygen..","pH","Water.temperature","Snell","Emerg","Float","Subm","TN","TP","day","month","year","meanCHLA","meanPC","DSC"
"BOF3","Boffereth","2",2022-04-28,63,NA,11.95,127.9,8.87,15.8,NA,0,0,0,2.47,1.873,118,"04","2022",25.3842186694172,76.0233333333333,178
"BOF4","Boffereth","2",2022-04-28,63,NA,9.12,101.7,8.17,20.7,NA,0,0,0,3.19,3.215,118,"04","2022",6.61337459171394,17.72,178
"BOF5","Boffereth","2",2022-04-28,64,NA,6.37,68,7.83,19.3,NA,0,0,0,3.53,1.729,118,"04","2022",6.24376826542891,17.72,178
"BOF6","Boffereth","2",2022-04-28,70,NA,8.5,90,7.93,17.4,NA,0,0,0,4.13,1.605,118,"04","2022",7.04830668729586,21.07,178
"BOF8","Boffereth","2",2022-04-28,18,NA,10.75,129.8,8.1,25,NA,0,0,0,5.87,1.307,118,"04","2022",16.2265772735087,80.6366666666667,178
"BOF9","Boffereth","2",2022-04-28,8,NA,3.41,40.1,7.71,24.4,NA,0,0,0,5.65,0.617,118,"04","2022",44.6742307031116,161.666666666667,178
"RUL3","Rullen","3",2022-06-22,8,356,11.28,141.1,7.38,25.4,NA,0,0,0,1.92,0.084,173,"06","2022",7.07818930041152,78.8,233
"RUL4","Rullen","3",2022-06-22,29,618,10.25,127.1,7.64,23.9,NA,0,0,0,2.37,0.101,173,"06","2022",7.83868312757202,48.4933333333333,233
"RUL6","Rullen","3",2022-06-22,17,384,NA,NA,9.64,28.7,NA,0,0,0,3.58,1.023,173,"06","2022",124.0329218107,98.3,233
"RUL16","Rullen","3",2022-06-22,10,520,11.67,155.9,8.91,28.3,NA,0,0,0,4.25,2.863,173,"06","2022",30.880658436214,21.2433333333333,233
"BOF1","Boffereth","3",2022-06-22,3,81.2,14.9,202,8.94,29.9,NA,0,0,0,NA,NA,173,"06","2022",433.020576131687,398.1,233
"BOF2","Boffereth","3",2022-06-22,2,90.4,15.74,214.1,9.64,30.6,NA,0,0,0,NA,NA,173,"06","2022",220.641975308642,189.833333333333,233
"BOF3","Boffereth","3",2022-06-22,35,170,11.57,155.4,9.07,29.8,NA,0,0,0,NA,NA,173,"06","2022",6.87078189300412,7.272,233
"BOF4","Boffereth","3",2022-06-22,29,126,12.29,163.8,9.16,29.7,NA,0,0,0,NA,NA,173,"06","2022",5.48971193415638,20.07,233
"BOF5","Boffereth","3",2022-06-22,35,152.7,11.38,151.7,8.59,30.2,NA,0,0,0,NA,NA,173,"06","2022",13.4485596707819,29.27,233
"BOF6","Boffereth","3",2022-06-22,25,186.5,13.88,183,8.92,27.2,NA,0,0,0,NA,NA,173,"06","2022",43.5670781893004,29.8133333333333,233
"RUL3","Rullen","4",2022-10-14,4,330,6.39,63.3,8.16,13.3,NA,0,0,0,NA,NA,287,"10","2022",18.2864197530864,303.4,347
"RUL4","Rullen","4",2022-10-14,24,412,12.5,123.4,8.8,12.7,9,0,0,0,2.46,0.246,287,"10","2022",152.641975308642,108.233333333333,347
"RUL16","Rullen","4",2022-10-14,26,257,7.3,72.3,7.67,12.7,9,0,0,0,3.7,2.22,287,"10","2022",19.8353909465021,169.366666666667,347
"BOF1","Boffereth","4",2022-10-14,10,55.9,20.24,214.9,9.2,16.5,9,0,0,0,2.96,10.049,287,"10","2022",238.847736625514,82.8266666666667,347
"BOF2","Boffereth","4",2022-10-14,29,71.7,13.2,140.9,8.01,17.2,NA,0,0,0,4.04,13.876,287,"10","2022",26.5547325102881,53.99,347
"BOF3","Boffereth","4",2022-10-14,30,92.6,10.65,112.8,7.73,15.6,26,0,0,0,2.29,1.793,287,"10","2022",4.78534979423868,60.2633333333333,347
"BOF4","Boffereth","4",2022-10-14,26,58,13.68,138.2,9,14.4,13,0,0,0,2.4,1.557,287,"10","2022",199.703703703704,132.17,347
"BOF5","Boffereth","4",2022-10-14,29,47.7,12.96,132.6,9.34,14.7,22,0,0,0,NA,NA,287,"10","2022",142.37037037037,118.333333333333,347
"BOF6","Boffereth","4",2022-10-14,21,100.9,10.48,105.3,7.34,13.1,15,0,0,0,NA,NA,287,"10","2022",98.2452674897119,112.136666666667,347
"RUL4","Rullen","5",2023-04-17,34,156.3,13.26,121.9,9.22,10.6,NA,0,0,0,NA,NA,107,"04","2023",147.735748534896,140.566666666667,532
"RUL16","Rullen","5",2023-04-17,25,206,7.54,71.2,7.9,10.9,NA,0,0,0,2.2,4.526,107,"04","2023",16.6933049191973,46.25,532
"BOF2","Boffereth","5",2023-04-17,45,126.4,11.98,118.7,7.4,14.9,NA,0,0,0,2.49,2.334,107,"04","2023",13.6387852956846,11.9473333333333,532
"BOF3","Boffereth","5",2023-04-17,75,128.7,12.26,123.2,7.52,15.8,NA,0,0,0,2.74,1.973,107,"04","2023",9.48144201740366,1.581,532
"BOF4","Boffereth","5",2023-04-17,76,102.6,14.13,150.9,7.57,16.5,NA,0,0,0,2.83,0.8,107,"04","2023",12.4826851358551,4.73066666666667,532
"BOF5","Boffereth","5",2023-04-17,97,99.9,17.74,181.5,7.44,15.1,NA,0,0,0,3.21,1.847,107,"04","2023",9.56846030900373,4.377,532
"BOF6","Boffereth","5",2023-04-17,73,150.7,15.36,164.1,7.32,13.8,NA,0,0,0,3.36,0.947,107,"04","2023",40.5416444681229,29.2466666666667,532
"BOF9","Boffereth","5",2023-04-17,15,220,20.96,219.5,7.2,16.4,NA,0,0,0,2.89,0.214,107,"04","2023",6.33812821878885,4.789,532
"RUL1","Rullen","6",2023-07-06,29,NA,NA,NA,NA,NA,NA,0,0,0,5.63,0.035,187,"07","2023",NA,NA,612
"RUL4","Rullen","6",2023-07-06,16,276,10.33,131.2,7.21,25.7,10,0,0,0,NA,NA,187,"07","2023",16.3718700053277,58.2833333333333,612
"RUL6","Rullen","6",2023-07-06,22,531,4.9,61,7.25,22.2,10,0,0,0,NA,NA,187,"07","2023",13.823477179897,33.17,612
"RUL16","Rullen","6",2023-07-06,24,311,1.96,23.8,7,17.2,23,0,0,0,NA,NA,187,"07","2023",8.03409696323921,18.2533333333333,612
"BOF3","Boffereth","6",2023-07-06,19,157.5,20.58,274.6,9.02,29.7,10,0.05,0,0,5.03,5.804,187,"07","2023",90.4102290889718,55.7766666666667,612
"BOF4","Boffereth","6",2023-07-06,28,156.6,17.44,229.6,8.66,28.2,10,0.25,0,0,5.53,3.838,187,"07","2023",106.943704492985,49.77,612
"BOF5","Boffereth","6",2023-07-06,23,138.7,18.25,235,9.02,28.5,7,0.1,0,0,5.83,2.96,187,"07","2023",166.471319481442,137.033333333333,612
"BOF6","Boffereth","6",2023-07-06,28,216,8.75,105.5,6.94,20.2,26,0.95,0,0,NA,NA,187,"07","2023",52.1665778724916,17.6633333333333,612
"RUL1","Rullen","7",2023-09-20,63,367,8.83,97.6,7.33,18,34,0,0,0,1.82,0.026,263,"09","2023",6.75723672527082,19.06,688
"RUL2","Rullen","7",2023-09-20,55,85.6,8.81,97.8,7.2,17.3,14,0,0,0,1.89,0.093,263,"09","2023",7.56348783519801,15.6633333333333,688
"RUL4","Rullen","7",2023-09-20,20,210.1,8.28,94.2,7.19,17.6,11,0,0,0,2.2,0.127,263,"09","2023",12.9639495649085,53.8766666666667,688
"RUL5","Rullen","7",2023-09-20,28,235,13.03,145,7.39,18.2,8,0,0,0,3.55,0.848,263,"09","2023",122.535961640916,118.066666666667,688
"RUL16","Rullen","7",2023-09-20,20,234,7.3,81.9,6.93,16.6,21,0,0,0,1.95,0.821,263,"09","2023",9.50985615343633,22.7233333333333,688
"BOF1","Boffereth","7",2023-09-20,19,82.6,10.61,128,7.42,22.8,14,0.1,0,0,2.36,2.37,263,"09","2023",31.2821878884745,15.29,688
"BOF2","Boffereth","7",2023-09-20,21,106.1,8.25,100.2,7.25,23.5,15,0.05,0.01,0,3.1,2.881,263,"09","2023",13.5055940330314,14.3866666666667,688
"BOF3","Boffereth","7",2023-09-20,48,98.7,8.04,97.2,7.24,22.7,22,0.7,0,0,2.83,2.283,263,"09","2023",10.715681051323,5.54133333333333,688
"BOF4","Boffereth","7",2023-09-20,65,94.2,7.8,92.6,7.22,20.8,20,0.4,0,0,2.79,0.773,263,"09","2023",4.71674658142426,23.2666666666667,688
"BOF5","Boffereth","7",2023-09-20,40,109.7,10.53,122.7,7.32,21.2,21,0.55,0,0,2.86,1.116,263,"09","2023",3.4159119161783,3.917,688
"BOF6","Boffereth","7",2023-09-20,48,143.1,5.26,60.1,7.32,20.2,32,0.9,0,0,3.29,1.164,263,"09","2023",4.55816018469188,0.315333333333333,688
"RUL1","Rullen","8",2023-11-14,103,270,7.31,64.9,7.1,8.7,34,0,0,0,1.74,0.03,318,"11","2023",4.27117741076185,87.46,743
"RUL2","Rullen","8",2023-11-14,75,65.3,10.48,92.2,7.74,8.6,14,0,0,0,1.52,0.087,318,"11","2023",37.1887764162671,154.966666666667,743
"RUL3","Rullen","8",2023-11-14,21,276,7.31,64.9,7.1,8.7,24,0,0,0,1.45,0.077,318,"11","2023",7.35038181495294,20.9933333333333,743
"RUL4","Rullen","8",2023-11-14,30,180.8,9.11,80.2,7.31,8.7,30,0.2,0,0,1.59,0.069,318,"11","2023",4.04350914580004,31.0933333333333,743
"RUL5","Rullen","8",2023-11-14,34,153.4,9.7,86.4,7.37,9.1,11,0,0,0,1.71,0.293,318,"11","2023",17.0786716391405,118.433333333333,743
"RUL6","Rullen","8",2023-11-14,59,325,6.1,54.4,7.26,9,5,0,0,0,3.05,2.019,318,"11","2023",42.8289824187533,331.6,743
"RUL11","Rullen","8",2023-11-14,5,190.7,8.12,74.5,7.38,10.3,NA,0,0,0,1.57,0.56,318,"11","2023",6.54590658852779,56.06,743
"RUL13","Rullen","8",2023-11-14,10,140.2,9.39,85.4,7.49,10.1,NA,0,0,0,1.2,0.334,318,"11","2023",5.50346297282898,59.3366666666667,743
"RUL16","Rullen","8",2023-11-14,41,144.8,7.91,70.2,7.46,9.1,20,0,0,0,1.66,5.091,318,"11","2023",14.9902326407388,61.0566666666667,743
"BOF1","Boffereth","8",2023-11-14,32,63.2,9.33,85.4,7.24,10.6,19,0.45,0.01,0,2.31,4.168,318,"11","2023",25.0079914757592,75.2566666666667,743
"BOF2","Boffereth","8",2023-11-14,45,81.5,8.41,81.8,7.18,10.1,20,0.4,0,0,2.7,4.908,318,"11","2023",18.4727401882437,45.2433333333333,743
"BOF3","Boffereth","8",2023-11-14,92,110,9.04,82.5,7.22,10.5,20,0.05,0.05,0,2.74,2.074,318,"11","2023",17.059136920618,105.32,743
"BOF4","Boffereth","8",2023-11-14,90,85.7,11.56,105.5,7.17,10.5,24,0.15,0.01,0,4.01,0.802,318,"11","2023",16.3629905878174,93.3566666666667,743
"BOF5","Boffereth","8",2023-11-14,91,93.2,8.54,77.6,7.12,10.4,29,0.25,0,0,3.41,0.62,318,"11","2023",11.4153791511277,73.0966666666667,743
"BOF6","Boffereth","8",2023-11-14,91,92,6.9,63.6,6.94,11,24,0.4,0.01,0,3.32,0.958,318,"11","2023",13.949564908542,79.9133333333333,743
"BOF7","Boffereth","8",2023-11-14,68,113.3,7.92,66.5,6.98,10.3,29,0,0,0,4.86,1.023,318,"11","2023",13.7790800923459,28.7833333333333,743
"BOF8","Boffereth","8",2023-11-14,14,63.2,9.8,89.1,7.46,10.6,32,0,0,0,2.64,0.193,318,"11","2023",11.7492452495116,26.4166666666667,743
"BOF9","Boffereth","8",2023-11-14,38,181.9,8.26,74.9,7.02,10.4,12,0,0,0,4.88,0.236,318,"11","2023",12.729532942639,61.24,743
"BOF10","Boffereth","8",2023-11-14,14,192.5,8.5,79.2,7.08,11.2,6,0,0,0,8,0.373,318,"11","2023",12.9195524773575,55.07,743
"RUL1","Rullen","9",2024-03-14,180,194.1,10.08,95.3,7.73,12.1,27,0,0,0,1.55,0.041,74,"03","2024",2.86023796838927,39.6366666666667,864
"RUL2","Rullen","9",2024-03-14,100,69.7,10.5,98.2,7.94,10.3,16,0,0,0,1.69,0.069,74,"03","2024",16.0966080625111,72.1533333333333,864
"RUL3","Rullen","9",2024-03-14,31,299,7.3,65.5,7.01,10.1,21,0,0,0,1.54,0.101,74,"03","2024",3.58142425856864,54.0166666666667,864
"RUL4","Rullen","9",2024-03-14,40,175.7,6.57,59.4,7.29,10.4,27,0.1,0,0,1.53,0.152,74,"03","2024",3.79080092345942,51.3233333333333,864
"RUL5","Rullen","9",2024-03-14,41,122.1,9.89,99.5,7.81,14.5,5,0,0,0,1.54,0.377,74,"03","2024",30.9696323921151,282.466666666667,864
"RUL6","Rullen","9",2024-03-14,58,274,5.85,58.5,7.76,15.1,5,0,0,0,4.26,1.841,74,"03","2024",43.5748534896111,276.933333333333,864
"RUL11","Rullen","9",2024-03-14,5,144.3,12.71,136.9,8.43,18.3,20,0,0,0,1.22,0.159,74,"03","2024",2.98597052033387,24.7,864
"RUL13","Rullen","9",2024-03-14,5,163.5,11.73,129.5,8.15,19.2,NA,0,0,0,1.33,0.215,74,"03","2024",3.64535606464216,20.0433333333333,864
"RUL16","Rullen","9",2024-03-14,42,158.8,9.37,98.6,8.54,14.5,10,0,0,0,2.43,5.102,74,"03","2024",20.5753862546617,50.7533333333333,864
"BOF1","Boffereth","9",2024-03-14,29,61.1,13.26,134.8,7.73,16.2,19,0.1,0,0,2.26,4.033,74,"03","2024",45.1731486414491,63.53,864
"BOF2","Boffereth","9",2024-03-14,42,140,15.1,150.5,7.71,15,19,0.6,0,0,2.06,1.384,74,"03","2024",10.9216835375599,45.4633333333333,864
"BOF3","Boffereth","9",2024-03-14,82,129.1,11.68,118.5,7.76,16.2,24,0.3,0.01,0,2.5,1.759,74,"03","2024",8.25785828449654,39.1633333333333,864
"BOF4","Boffereth","9",2024-03-14,92,94.1,11.42,111.3,7.34,10.9,18,0.5,0.01,0,5.9,0.684,74,"03","2024",10.2663825253063,66.1433333333333,864
"BOF5","Boffereth","9",2024-03-14,98,85.2,18.47,181.3,7.5,15,18,0.5,0,0,3.54,1.196,74,"03","2024",7.12839637719766,42.4533333333333,864
"BOF6","Boffereth","9",2024-03-14,97,95.1,9.61,90.8,7.28,12.4,22,0.7,0,0,3.35,0.982,74,"03","2024",6.24223050967857,58.7,864
"BOF7","Boffereth","9",2024-03-14,64,113.7,9.27,95.3,7.5,17.6,24,0,0,0,4.06,0.512,74,"03","2024",8.79062333510922,42.52,864
"BOF8","Boffereth","9",2024-03-14,27,103.2,14.18,157.3,7.71,17,25,0,0,0,5.36,0.365,74,"03","2024",4.89788669863257,42.6866666666667,864
"BOF9","Boffereth","9",2024-03-14,45,190,16.21,164.5,7.72,16,19,0,0,0,6.19,0.132,74,"03","2024",9.42638962884035,41.9366666666667,864
"RUL1","Rullen","10",2024-07-10,100,247,8.53,105.7,8.32,23.5,22,0.1,0,0,1.8,0.089,192,"07","2024",2.95009767359261,10.0286666666667,982
"RUL2","Rullen","10",2024-07-10,100,78.7,8.99,112.9,8,24,14,0.1,0,0,1.9,0.131,192,"07","2024",9.95915467945303,49.9733333333333,982
"RUL3","Rullen","10",2024-07-10,10,213,10.01,123.2,6.85,24.6,11,0.2,0,0,2.39,0.137,192,"07","2024",17.0378263185935,73.13,982
"RUL4","Rullen","10",2024-07-10,25,199.4,6.84,80.6,6.4,23.7,24,0.65,0.15,0,1.47,0.088,192,"07","2024",9.64304741608951,24.1166666666667,982
"RUL5","Rullen","10",2024-07-10,34,171.1,3.32,42.2,8.52,24,14,0.7,0.02,0,1.61,0.14,192,"07","2024",2.57822766826496,22.88,982
"RUL6","Rullen","10",2024-07-10,39,451,7.62,97.2,8.74,24.5,4,0.25,0,0,2.89,0.959,192,"07","2024",8.27206535251288,229.3,982
"RUL16","Rullen","10",2024-07-10,31,272,10.23,126,8.81,24.2,19,0.25,0,0.15,2.54,4.801,192,"07","2024",7.02717101758125,35.2433333333333,982
"BOF1","Boffereth","10",2024-07-10,15,94.8,7.48,93.4,7.94,25.5,7,0.5,0.35,0,2.12,3.634,192,"07","2024",10.6091280412005,57.77,982
"BOF2","Boffereth","10",2024-07-10,29,197.6,1.95,24.2,7.67,24.3,9,0.6,0.3,0,2.85,2.796,192,"07","2024",6.40419108506482,42.8833333333333,982
"BOF3","Boffereth","10",2024-07-10,57,190.6,11.7,142.5,7.83,25.8,23,0.65,0.35,0,2.93,1.471,192,"07","2024",2.88811933937134,27.2,982
"BOF4","Boffereth","10",2024-07-10,63,99.3,8.72,108.1,7.19,21,19,0.85,0.3,0,3.27,1.278,192,"07","2024",3.19694548037649,34.65,982
"BOF5","Boffereth","10",2024-07-10,70,173.2,6.87,62.1,7.34,27.3,16,0.75,0.3,0,4.06,1.133,192,"07","2024",2.01864677677144,38.5,982
"BOF6","Boffereth","10",2024-07-10,64,249,3.94,48.4,7.29,25.6,9,0.8,0.13,0,4.53,1.288,192,"07","2024",8.69650150950098,78.3533333333333,982
"RUL1","Rullen","11",2024-10-14,100,162.3,11.75,111.4,8.09,10.8,20,0,0,0,1.56,0.032,288,"10","2024",1.3738234771799,144.133333333333,1078
"RUL2","Rullen","11",2024-10-14,100,60.9,11.65,107.2,8.33,10.2,24,0.05,0,0,1.67,0.077,288,"10","2024",2.30118984194637,154.7,1078
"RUL3","Rullen","11",2024-10-14,29,257,8.35,80.7,7.41,8.6,18,0,0,0,1.68,0.098,288,"10","2024",3.27508435446635,161.633333333333,1078
"RUL4","Rullen","11",2024-10-14,33,197.9,3,27.5,7.71,10.1,15,0.65,0,0,NA,NA,288,"10","2024",15.9492097318416,216.9,1078
"RUL5","Rullen","11",2024-10-14,35,106.5,7.96,73.9,8.39,10.4,16,0,0.05,0,1.64,0.25,288,"10","2024",3.60770733439886,157.9,1078
"RUL6","Rullen","11",2024-10-14,41,304,3.3,30.4,8.06,9.3,8,0,0,0,3.23,1.728,288,"10","2024",5.62067128396377,313.9,1078
"RUL7","Rullen","11",2024-10-14,36,257,10.23,93.8,8.2,9.9,28,0,0,0,NA,NA,288,"10","2024",4.26265316995205,122.233333333333,1078
"RUL16","Rullen","11",2024-10-14,43,149.8,8.91,81.5,7.96,9.9,21,0,0,0,NA,NA,288,"10","2024",13.2036938376842,79.2733333333333,1078
"BOF1","Boffereth","11",2024-10-14,27,70.6,10.4,96,7.83,10.5,27,0.2,0,0,2,3.025,288,"10","2024",3.52743740010655,116.366666666667,1078
"BOF2","Boffereth","11",2024-10-14,30,129.4,10.52,97,7.67,10.7,20,0.65,0,0,2.86,2.627,288,"10","2024",3.65050612679808,95.24,1078
"BOF3","Boffereth","11",2024-10-14,118,123,10.23,95,7.66,11.1,25,0,0.1,0,2.68,1.934,288,"10","2024",2.85384478778192,108.033333333333,1078
"BOF4","Boffereth","11",2024-10-14,48,108.2,9.16,86,7.94,11.8,26,0.2,0,0,3.98,0.823,288,"10","2024",2.24631504173326,86.7866666666667,1078
"BOF5","Boffereth","11",2024-10-14,85,153.4,12.59,117.1,8.29,11,19,0.1,0,0,3.1,0.589,288,"10","2024",3.02148819037471,85.91,1078
"BOF6","Boffereth","11",2024-10-14,58,135.8,10.62,97.1,8.06,11.1,25,0.4,0.1,0,4.48,0.942,288,"10","2024",3.73415023974427,80.1133333333333,1078
"BOF7","Boffereth","11",2024-10-14,40,173.5,7.53,69.5,8.41,11,26,0,0,0,4.73,0.892,288,"10","2024",3.40312555496359,127.8,1078
"BOF9","Boffereth","11",2024-10-14,17,153.4,12.59,117.1,8.29,11,23,0,0,0,4.74,0.3,288,"10","2024",2.47238501154324,88.24,1078
